"id","ultCot","cod","cotAtual","divYield","ultInsert","ultAt"
"118","2023-01-11","PTNT4","6.58","4.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"119","2023-01-11","KLBN4","3.98","7.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"120","2023-01-11","SAPR4","3.55","8.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"121","2023-01-11","CGRA4","29.05","11.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"122","2022-11-14","SOND6","32.35","20.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"123","2023-01-11","AFLT3","9.28","2.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"124","2023-01-11","PFRM3","3.45","5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"125","2023-01-11","KEPL3","19.5","10.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"126","2023-01-11","TECN3","2.46","3.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"127","2022-12-21","CEEB5","31.33","20.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"128","2023-01-11","RAPT4","8.38","10.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"129","2023-01-11","ENBR3","20.05","12.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"130","2023-01-11","DXCO3","7.09","4.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"131","2023-01-11","CCRO3","11.36","3.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"132","2023-01-11","ATOM3","2.37","2.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"133","2023-01-11","RSUL4","59.01","3.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"134","2023-01-11","POSI3","8.35","4.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"135","2023-01-11","TRPL4","22.51","4.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"136","2023-01-11","WLMM4","18.4","6.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"137","2023-01-11","HBOR3","2.38","7.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"138","2023-01-11","MELK3","3.2","6.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"139","2023-01-11","CAML3","7.67","4.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"140","2023-01-11","BMKS3","311","5.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"141","2023-01-11","ENGI4","7.16","3.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"142","2023-01-11","SMTO3","23.85","4.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"143","2023-01-11","TAEE4","11.6","17.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"144","2023-01-11","AGRO3","28.37","18.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"145","2023-01-10","EKTR4","36.74","21.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"146","2023-01-11","SHUL4","4.88","4.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"147","2023-01-11","CSUD3","11.47","8.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"148","2023-01-11","CMIG4","11.68","11.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"149","2023-01-11","CSRN6","21.99","20.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"150","2023-01-11","EVEN3","4.9","3.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"151","2023-01-11","WIZS3","7.02","8.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"152","2023-01-11","SLCE3","45.5","6.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"153","2023-01-11","CPFE3","32.56","10","2023-01-14 14:30:12","2023-01-14 14:30:12"
"154","2023-01-11","ALLD3","6.26","14.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"155","2023-01-11","SBFG3","11.71","1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"156","2023-01-10","CRPG6","29.99","15.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"157","2023-01-11","PLPL3","4.18","3.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
